"dataset_id","source_pkg","object","title","slab","yi","vi","measure","te","sete","treat1long","treat2long","treat1","treat2","studlab","precision","abs_yi"
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",1,-1.9,0.01999396,"te",-1.9,0.1414,"Metformin","Placebo","metf","plac","DeFronzo1995",7.07213578500707,1.9
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",2,-0.82,0.00984064,"te",-0.82,0.0992,"Metformin","Placebo","metf","plac","Lewin2007",10.0806451612903,0.82
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",3,-0.2,0.12809241,"te",-0.2,0.3579,"Metformin","Acarbose","metf","acar","Willms1999",2.79407655769768,0.2
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",4,-1.34,0.02059225,"te",-1.34,0.1435,"Rosiglitazone","Placebo","rosi","plac","Davidson2007",6.96864111498258,1.34
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",5,-1.1,0.01301881,"te",-1.1,0.1141,"Rosiglitazone","Placebo","rosi","plac","Wolffenbuttel1999",8.76424189307625,1.1
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",6,-1.3,0.01607824,"te",-1.3,0.1268,"Pioglitazone","Placebo","piog","plac","Kipnes2001",7.88643533123028,1.3
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",7,-0.77,0.01162084,"te",-0.77,0.1078,"Rosiglitazone","Placebo","rosi","plac","Kerenyi2004",9.27643784786642,0.77
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",8,0.16,0.00720801,"te",0.16,0.0849,"Pioglitazone","Metformin","piog","metf","Hanefeld2004",11.7785630153121,0.16
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",9,0.1,0.03352561,"te",0.1,0.1831,"Pioglitazone","Rosiglitazone","piog","rosi","Derosa2004",5.46149645002731,0.1
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",10,-1.3,0.01028196,"te",-1.3,0.1014,"Rosiglitazone","Placebo","rosi","plac","Baksi2004",9.86193293885601,1.3
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",11,-1.09,0.05121169,"te",-1.09,0.2263,"Rosiglitazone","Placebo","rosi","plac","Rosenstock2008",4.41891294741494,1.09
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",12,-1.5,0.02637376,"te",-1.5,0.1624,"Rosiglitazone","Placebo","rosi","plac","Zhu2003",6.1576354679803,1.5
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",13,-0.14,0.05013121,"te",-0.14,0.2239,"Rosiglitazone","Metformin","rosi","metf","Yang2003",4.46627958910228,0.14
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",14,-1.2,0.02062096,"te",-1.2,0.1436,"Rosiglitazone","Sulfonylurea","rosi","sulf","Vongthavaravat2002",6.96378830083565,1.2
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",15,-0.4,0.02399401,"te",-0.4,0.1549,"Acarbose","Sulfonylurea","acar","sulf","Oyama2008",6.45577792123951,0.4
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",16,-0.8,0.02050624,"te",-0.8,0.1432,"Acarbose","Placebo","acar","plac","Costa1997",6.98324022346369,0.8
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",17,-0.57,0.01666681,"te",-0.57,0.1291,"Sitagliptin","Placebo","sita","plac","Hermansen2007",7.74593338497289,0.57
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",18,-0.7,0.01620529,"te",-0.7,0.1273,"Vildagliptin","Placebo","vild","plac","Garber2008",7.85545954438335,0.7
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",19,-0.37,0.01401856,"te",-0.37,0.1184,"Metformin","Sulfonylurea","metf","sulf","Alex1998",8.44594594594595,0.37
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",20,-0.74,0.03381921,"te",-0.74,0.1839,"Miglitol","Placebo","migl","plac","Johnston1994",5.43773790103317,0.74
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",21,-1.41,0.04995225,"te",-1.41,0.2235,"Miglitol","Placebo","migl","plac","Johnston1998a",4.47427293064877,1.41
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",22,0,0.05470921,"te",0,0.2339,"Rosiglitazone","Metformin","rosi","metf","Kim2007",4.27533133817871,0
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",23,-0.68,0.07997584,"te",-0.68,0.2828,"Miglitol","Placebo","migl","plac","Johnston1998b",3.53606789250354,0.68
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",24,-0.4,0.18974736,"te",-0.4,0.4356,"Metformin","Placebo","metf","plac","Gonzalez-Ortiz2004",2.29568411386593,0.4
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",25,-0.23,0.12020089,"te",-0.23,0.3467,"Benfluorex","Placebo","benf","plac","Stucci1996",2.88433804441881,0.23
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",26,-1.01,0.01865956,"te",-1.01,0.1366,"Benfluorex","Placebo","benf","plac","Moulin2006",7.32064421669107,1.01
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",27,-1.2,0.14122564,"te",-1.2,0.3758,"Metformin","Placebo","metf","plac","Willms1999",2.66098988823842,1.2
"netmeta_Senn2013","netmeta","Senn2013","Network meta-analysis in diabetes",28,-1,0.21799561,"te",-1,0.4669,"Acarbose","Placebo","acar","plac","Willms1999",2.14178624973228,1
